size,solutionFound,time
4,1,7.152557373046875e-05
4,1,9.036064147949219e-05
4,1,7.915496826171875e-05
4,1,0.00010442733764648438
4,1,0.00011229515075683594
4,1,9.012222290039062e-05
4,1,8.153915405273438e-05
4,0,4.649162292480469e-05
4,0,5.793571472167969e-05
4,1,9.799003601074219e-05
4,1,0.00011110305786132812
4,1,9.274482727050781e-05
4,0,3.695487976074219e-05
4,1,9.870529174804688e-05
4,1,7.367134094238281e-05
4,0,6.771087646484375e-05
4,1,0.000125885009765625
4,1,7.867813110351562e-05
4,0,5.078315734863281e-05
4,0,5.459785461425781e-05
4,1,0.0001239776611328125
4,0,5.459785461425781e-05
4,1,0.0001308917999267578
4,0,6.842613220214844e-05
4,0,7.200241088867188e-05
4,1,7.081031799316406e-05
4,1,8.821487426757812e-05
4,0,3.409385681152344e-05
4,1,6.437301635742188e-05
4,1,8.916854858398438e-05
4,1,5.793571472167969e-05
4,1,5.459785461425781e-05
4,1,0.0001323223114013672
4,1,0.00010967254638671875
4,0,6.246566772460938e-05
4,1,0.00011444091796875
4,0,4.9591064453125e-05
4,0,6.127357482910156e-05
4,1,0.0001049041748046875
4,1,0.0001251697540283203
4,0,6.0558319091796875e-05
4,1,0.00013184547424316406
4,0,3.838539123535156e-05
4,1,6.842613220214844e-05
4,0,5.030632019042969e-05
4,1,7.724761962890625e-05
4,1,0.00011587142944335938
4,1,5.602836608886719e-05
4,1,8.654594421386719e-05
4,1,0.0001010894775390625
4,0,5.7697296142578125e-05
4,1,6.628036499023438e-05
4,1,9.679794311523438e-05
4,0,4.982948303222656e-05
4,1,8.678436279296875e-05
4,1,9.202957153320312e-05
4,1,0.000110626220703125
4,0,3.457069396972656e-05
4,1,9.775161743164062e-05
4,1,0.00011134147644042969
4,0,7.081031799316406e-05
4,1,0.00012230873107910156
4,0,5.340576171875e-05
4,1,0.0001201629638671875
4,1,0.0001342296600341797
4,1,0.00012946128845214844
4,1,7.367134094238281e-05
4,1,6.67572021484375e-05
4,1,5.4836273193359375e-05
4,1,9.512901306152344e-05
4,1,9.322166442871094e-05
4,1,0.0001220703125
4,0,5.1021575927734375e-05
4,0,6.508827209472656e-05
4,1,0.00010132789611816406
4,1,0.00010251998901367188
4,1,7.486343383789062e-05
4,1,8.96453857421875e-05
4,1,0.00012350082397460938
4,1,6.198883056640625e-05
4,1,7.62939453125e-05
4,0,2.9802322387695312e-05
4,1,0.0001220703125
4,0,5.626678466796875e-05
4,0,5.6743621826171875e-05
4,0,5.1021575927734375e-05
4,0,6.914138793945312e-05
4,0,7.462501525878906e-05
4,1,7.271766662597656e-05
4,0,7.128715515136719e-05
4,1,9.822845458984375e-05
4,0,5.888938903808594e-05
4,1,8.0108642578125e-05
4,1,9.703636169433594e-05
4,1,9.107589721679688e-05
4,1,0.00011277198791503906
4,0,4.458427429199219e-05
4,1,5.078315734863281e-05
4,1,0.00011754035949707031
4,0,5.745887756347656e-05
4,1,9.655952453613281e-05
4,0,4.1961669921875e-05
4,0,3.266334533691406e-05
4,1,9.083747863769531e-05
4,1,6.127357482910156e-05
4,1,7.939338684082031e-05
4,0,4.3392181396484375e-05
4,0,4.315376281738281e-05
4,1,0.00014901161193847656
4,0,5.650520324707031e-05
4,0,5.340576171875e-05
4,0,5.6743621826171875e-05
4,1,8.726119995117188e-05
4,1,4.649162292480469e-05
4,0,4.1961669921875e-05
4,1,8.273124694824219e-05
4,1,4.7206878662109375e-05
4,1,4.744529724121094e-05
4,1,6.103515625e-05
4,1,0.00010061264038085938
4,0,4.458427429199219e-05
4,0,3.314018249511719e-05
4,1,7.104873657226562e-05
4,0,3.457069396972656e-05
4,1,9.989738464355469e-05
4,0,5.435943603515625e-05
4,1,7.82012939453125e-05
4,1,4.4345855712890625e-05
4,1,5.173683166503906e-05
4,1,9.179115295410156e-05
4,1,0.00010061264038085938
4,1,7.653236389160156e-05
4,0,3.0040740966796875e-05
4,1,0.00010752677917480469
4,1,4.887580871582031e-05
4,1,6.175041198730469e-05
4,0,2.86102294921875e-05
4,1,4.9114227294921875e-05
4,1,9.298324584960938e-05
4,1,9.632110595703125e-05
4,0,4.6253204345703125e-05
4,1,8.726119995117188e-05
4,1,0.00011134147644042969
4,0,4.410743713378906e-05
4,1,0.00011992454528808594
4,0,4.1961669921875e-05
4,1,9.989738464355469e-05
4,1,6.079673767089844e-05
4,1,0.00011181831359863281
4,1,8.58306884765625e-05
4,0,3.147125244140625e-05
4,1,0.0001289844512939453
4,1,8.416175842285156e-05
4,0,3.147125244140625e-05
4,0,5.269050598144531e-05
4,0,7.43865966796875e-05
4,1,4.029273986816406e-05
4,0,5.555152893066406e-05
4,0,3.0994415283203125e-05
4,1,0.00010919570922851562
4,1,0.00013685226440429688
4,1,0.00010132789611816406
4,1,4.982948303222656e-05
4,0,5.793571472167969e-05
4,1,8.606910705566406e-05
4,1,9.012222290039062e-05
4,0,3.933906555175781e-05
4,1,4.76837158203125e-05
4,0,4.482269287109375e-05
4,1,8.20159912109375e-05
4,1,7.486343383789062e-05
4,0,5.6743621826171875e-05
4,0,3.2901763916015625e-05
4,0,3.528594970703125e-05
4,0,5.4836273193359375e-05
4,0,5.888938903808594e-05
4,0,6.270408630371094e-05
4,0,4.220008850097656e-05
4,1,7.700920104980469e-05
4,0,5.435943603515625e-05
4,1,5.5789947509765625e-05
4,1,0.00010609626770019531
4,1,0.00010013580322265625
4,1,0.000118255615234375
4,0,2.5033950805664062e-05
4,0,3.7670135498046875e-05
4,0,4.649162292480469e-05
4,0,4.220008850097656e-05
4,1,8.511543273925781e-05
4,1,0.00011610984802246094
4,0,3.790855407714844e-05
4,0,2.2411346435546875e-05
4,1,8.726119995117188e-05
4,0,4.482269287109375e-05
4,1,6.723403930664062e-05
4,0,2.3126602172851562e-05
4,1,7.653236389160156e-05
4,0,2.5033950805664062e-05
4,0,4.553794860839844e-05
4,0,3.3855438232421875e-05
4,1,4.696846008300781e-05
4,1,9.965896606445312e-05
